context,synthetic_instruction,synthetic_instruction_score,synthetic_response,synthetic_response_score,instruction,response
"LinkedIn (/lktn/) is a business and employment-focused social media platform that works through websites and mobile apps. It launched on May 5, 2003. It is now owned by Microsoft. The platform is primarily used for professional networking and career development, and allows jobseekers to post their CVs and employers to post jobs. From 2015 most of the company's revenue came from selling access to information about its members to recruiters and sales professionals. Since December 2016, it has been a wholly owned subsidiary of Microsoft. As of March 2023, LinkedIn has more than 900 million registered members from over 200 countries and territories.  LinkedIn allows members (both workers and employers) to create profiles and connect with each other in an online social network which may represent real-world professional relationships. Members can invite anyone (whether an existing member or not) to become a connection. LinkedIn can also be used to organize offline events, join groups, write articles, publish job postings, post photos and videos, and more.","What is the primary purpose of LinkedIn, and what are some of the features it offers to its members?",91.42857142857144,"LinkedIn's primary purpose is professional networking and career development. It allows jobseekers to post their CVs and employers to post jobs. Some of the features it offers to its members include creating profiles, connecting with others, inviting anyone to become a connection, organizing offline events, joining groups, writing articles, publishing job postings, posting photos and videos, and more.",94.28571428571428,Please summarize what Linkedin does.,"Linkedin is a social platform that business professionals create profiles on and network with other business professionals. It is used to network, career development, and for jobseekers to find jobs. Linkedin has over 900 million users from over 200 countries. Linkedin can be used to post resumes/CVs, organizing events, joining groups, writing articles, publishing job postings, posting picture, posting videos, and more!"
"""Needles and Pins"" is a rock song credited to American writers Jack Nitzsche and Sonny Bono. Jackie DeShannon recorded it in 1963 and other versions followed. The most successful ones were by the Searchers, whose version reached No. 1 on the UK singles chart in 1964, and Smokie, who had a worldwide hit in 1977. Others who recorded the song include the Ramones, Gene Clark, and Tom Petty and the Heartbreakers with Stevie Nicks.  Jackie DeShannon version (1963) In his autobiography, Bono states that he sang along with Nitzsche's guitar-playing, thus creating both the tune and the lyrics, being guided by the chord progressions. However, Jackie DeShannon claims that the song was written at the piano, and that she was a full participant in the song's creation, along with Nitzsche and Bono, although she did not get formal credit.  DeShannon was the first to record the song; in the US it peaked at number 84 on the Billboard Hot 100 singles chart in May 1963. Though it was only a minor US hit, DeShannon's recording of the song topped the charts in Canada, hitting number one on the CHUM Chart in July 1963","What is the highest chart position achieved by Jackie DeShannon's 1963 recording of ""Needles and Pins"" in the UK?",94.28571428571428,Number 1.,88.57142857142857,Who was the first to record the Needles and Pins song?,The first artist to record Needles and Pins song was DeShannon.
"Different types of climbing warrant particular features for harnesses. Sport climbers typically use minimalistic harnesses, some with sewn-on gear loops. Alpine climbers often choose lightweight harnesses, perhaps with detachable leg loops. Big Wall climbers generally prefer padded waist belts and leg loops. There are also full body harnesses for children, whose pelvises may be too narrow to support a standard harness safely. These harnesses prevent children from falling even when inverted, and are either manufactured for children or constructed out of webbing. Some climbers use full body harnesses when there is a chance of inverting, or when carrying a heavy bag. There are also chest harnesses, which are used only in combination with a sit harness. Test results from UIAA show that chest harnesses do not put more impact on the neck than sit harnesses, giving them the same advantages as full body harness.  Apart from these harnesses, there are also caving and canyoning harnesses, which all serve different purposes. For example, a caving harness is made of tough waterproof and unpadded material, with dual attachment points. Releasing the maillon from these attachment points loosens the harness quickly.  Canyoning harnesses are somewhat like climbing harnesses, often without the padding, but with a seat protector, making it more comfortable to rappel. These usually have a single attachment point of Dyneema.",What type of harness do big wall climbers typically prefer and why?,94.28571428571428,Big wall climbers typically prefer padded waist belts and leg loops.,92.85714285714286,Provide me a list of the different types of harnesses used in rock climbing,"Minimalistic Harness: has gear loops that are sewn on Lightweight Harness: has leg loops that are removable Big Wall Harness: uses padded waist belts and leg loops Full Body Harness: mostly for children with small pelvises, or for scenarios that risk inversion Chest Harness: to be used with a sit harness Caving Harness: made of ultra durable material and multiple attachment points Canyon Harness: has a built-in seat protector for rappeling."
"Kia claims that the Stinger accelerates from zero to 100 km/h (62 mph) in 7.7, 6 and 4.9 seconds for the 2.2-liter diesel, 2.0-liter petrol and 3.3-liter petrol respectively. Schreyer reportedly drove a pre-production Stinger GT at a top speed of 269 km/h (167 mph) on the Autobahn.  During a test by Car and Driver, an all-wheel-drive U.S. spec GT 3.3T with Michelin Pilot Sport 4 tires achieved 060 mph (097 km/h) in 4.6 seconds on the track, reached 0.91 g on the skidpad and was able to stop from 70 mph (113 km/h) in 164 feet (50 m). According to this publication, the U.S. model's top speed is governed at 167 mph (269 km/h) per Kia specs. In tests conducted by Motor Trend, the four-cylinder U.S. spec Stinger 2.0 RWD on Bridgestone Potenza tires reached 60 mph (97 km/h) in 6.6 seconds, completed the 14-mile (0.4 km) run in 15 seconds and stopped from 60 mph (97 km/h) in 126 feet (38 m). The average lateral acceleration recorded in track testing was 0.85 g.",What are the acceleration times from 0-100 km/h for the different engine types of the Kia Stinger?,95.71428571428572,"The Kia Stinger accelerates from zero to 100 km/h in 7.7, 6, and 4.9 seconds for the 2.2-liter diesel, 2.0-liter petrol, and 3.3-liter petrol respectively.",95.71428571428572,"Given this paragraph, what is the top speed of a Kia Stinger?",The top speed of a Kia Stinger is 269km/h (167mph) according to this text.
"Key lime pie is probably derived from the ""Magic Lemon Cream Pie"" published in a promotional brochure by Borden, a producer of condensed milk, in 1931. The recipe is attributed to Borden's fictional spokesperson, Jane Ellison, and includes condensed milk, lemon juice and rind, and egg yolks. It is covered with meringue, baked, and served cold. According to the pastry chef Stella Parks, users of the recipe altered it with local ingredients; she describes it as ""a stunning reminder of how deeply America's traditions are shaped by advertising"".  A ""Tropical Lime Chiffon Pie"", using condensed milk and egg yolks, is documented in a 1933 Miami newspaper article. An ""icebox lime pie"", was mentioned as a specialty of the Florida Keys in 1935.[full citation needed] and a recipe under the name ""Key Lime Pie"" was published in 1940.[full citation needed]  No earlier solid sources are known, despite appeals to the public. A 1927 Key West Women's Club cookbook does not mention the recipe. A 1926 restaurant menu includes ""lime pie"", but it is unclear what it was. Various accounts claim that it was known earlier, but none were recorded before 1933. A widely-reported story claims that William Curry's cook Aunt Sally invented it in the late 19th century. But there is no evidence for this, and the oldest version of this story dates to only 1895, in promotional materials for a Bed and Breakfast in Curry's former house.  It was in the 1950s that Key lime pie was promoted as Florida's ""most famous treat"" and in 1987 as ""the greatest of all regional American desserts.""","What are the ingredients used in the original ""Magic Lemon Cream Pie"" recipe attributed to Jane Ellison?",94.28571428571428,"The original ""Magic Lemon Cream Pie"" recipe attributed to Jane Ellison includes condensed milk, lemon juice and rind, and egg yolks.",94.28571428571428,Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,"Key lime pie is an American dessert pie. It is made of lime juice, egg yolks, and sweetened condensed milk. It is best served with meringue topping and is typically cooked in a graham cracker crust.  The dish is named after the small Key limes which which have yellow juice complementing the filling which is typically yellow because of the egg yolks used.  The filling is made by simply mixing the ingredients without cooking the proteins of the egg yolks and condensed milk and the acidic lime juice curdle, thickening the mixture without baking."
"The British Virgin Islands (BVI), officially the Virgin Islands, are a British Overseas Territory in the Caribbean, to the east of Puerto Rico and the US Virgin Islands and north-west of Anguilla. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles and part of the West Indies.  The British Virgin Islands consist of the main islands of Tortola, Virgin Gorda, Anegada and Jost Van Dyke, along with more than 50 other smaller islands and cays. About 16 of the islands are inhabited. The capital, Road Town, is on Tortola, the largest island, which is about 20 km (12 mi) long and 5 km (3 mi) wide. The islands had a population of 28,054 at the 2010 Census, of whom 23,491 lived on Tortola; current estimates put the population at 35,802 (July 2018).",What is the approximate length and width of the largest island in the British Virgin Islands?,94.28571428571428,"The largest island in the British Virgin Islands is Tortola, which is approximately 20 km (12 mi) long and 5 km (3 mi) wide.",95.71428571428572,Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,"The British Virgin Islands (BVI), officially the Virgin Islands, are a British Overseas Territory in the Caribbean, to the east of Puerto Rico and the US Virgin Islands and north-west of Anguilla. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles and part of the West Indies.  The British Virgin Islands consist of the main islands of Tortola, Virgin Gorda, Anegada and Jost Van Dyke, along with more than 50 other smaller islands and cays."
"Exogamy often results in two individuals that are not closely genetically related marrying each other; that is, outbreeding as opposed to inbreeding. In moderation, this benefits the offspring as it reduces the risk of the offspring inheriting two copies of a defective gene. Increasing the genetic diversity of the offspring improves the chances of offspring reproducing, up until the fourth-cousin level of relatedness; however, reproduction between individuals on the fourth-cousin level of relatedness decreases evolutionarily fitness.",What is the maximum level of relatedness between two individuals for which increasing genetic diversity in offspring improves evolutionary fitness?,94.28571428571428,The maximum level of relatedness between two individuals for which increasing genetic diversity in offspring improves evolutionary fitness is up to the fourth-cousin level.,94.28571428571428,"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?","""Outbreeding"" is more beneficial to the offspring as it reduces the risk of inheriting defective genes, increasing the offspring's ability to reproduce."
"Muhammad Ejaz Shafi is a Pakistani politician who was a Member of the Provincial Assembly of the Punjab, from 2002 to May 2018.  Early life and education He was born on 1 May 1969 in Khanpur.  He has the degree of the Bachelor of Arts.  Political career He was elected to the Provincial Assembly of the Punjab as a candidate of Pakistan Muslim League (Q) (PML-Q) from Constituency PP-290 (Rahimyar Khan-VI) in 2002 Pakistani general election. He received 22,531 votes and defeated a candidate of Pakistan Awami Tehrik.  He was re-elected to the Provincial Assembly of the Punjab as a candidate of PML-Q from Constituency PP-290 (Rahimyar Khan-VI) in 2008 Pakistani general election. He received 24,751 votes and defeated a candidate of Pakistan Peoples Party.  He was re-elected to the Provincial Assembly of the Punjab as a candidate of Pakistan Muslim League (N) from Constituency PP-290 (Rahimyar Khan-VI) in 2013 Pakistani general election.","What were the constituencies and parties represented by Muhammad Ejaz Shafi in the 2002, 2008, and 2013 Pakistani general elections?",94.28571428571428,"Muhammad Ejaz Shafi represented Constituency PP-290 (Rahimyar Khan-VI) and was a candidate of Pakistan Muslim League (Q) (PML-Q) in the 2002 Pakistani general election. In the 2008 Pakistani general election, he represented the same constituency and was a candidate of PML-Q. In the 2013 Pakistani general election, he represented Constituency PP-290 (Rahimyar Khan-VI) and was a candidate of Pakistan Muslim League (N).",94.28571428571428,Who is Muhammad Ejaz Shafi,"Muhammad Ejaz Shafi is a Pakistani politician who was a Member of the Provincial Assembly of the Punjab, from 2002 to May 2018. He was born on 1 May 1969 in Khanpur."
"The Smiths were an English rock band formed in Manchester in 1982. They comprised the singer Morrissey, the guitarist Johnny Marr, the bassist Andy Rourke and the drummer Mike Joyce. Morrissey and Marr formed the band's songwriting partnership. They are regarded as one of the most important acts to emerge from the 1980s British independent music.","Who were the four members of the English rock band The Smiths, formed in Manchester in 1982?",95.71428571428572,"The four members of The Smiths were Morrissey, Johnny Marr, Andy Rourke, and Mike Joyce.",95.71428571428572,Who are the Smiths?,"The Smiths were an English rock band from the 1980s. The lead singer was Morrissey. The other band members were: Johnny Marr on guitar, Andy Rourke on bass, and Mike Joyce on drums."
"Reading railway station is a major transport hub in Reading, Berkshire, England. It is on the northern edge of the town centre, near the main retail and commercial areas and the River Thames, 36 miles (58 km) from London Paddington. The first Reading station was opened on 30 March 1840 as the temporary western terminus of the original line of the Great Western Railway (GWR). Reading is the ninth-busiest station in the UK outside London and the second busiest interchange station outside London with over 3.8 million passengers changing trains at the station annually.",What is the approximate distance from Reading railway station to London Paddington?,94.28571428571428,36 miles (58 km),95.71428571428572,When was the first Reading railway station opened?,"The first Reading railway station was opened on the 30th of March, 1840."
"The brown eared pheasant (Crossoptilon mantchuricum) is a large, 96 to 100-cm-long, dark brown pheasant endemic to the mountain forests of northeastern China (Shanxi and nearby provinces). The species was first described by Robert Swinhoe in 1863. It has stiff white ear coverts behind the eyes, which look like a moustache. The crown is black with red bare facial skin and its tail of 22 elongated, white feathers is curved, loose and dark-tipped. Both sexes are similar in plumage.",What are the distinctive features of the brown eared pheasant's facial skin and what is its color?,94.28571428571428,"The brown eared pheasant has red bare facial skin, and its crown is black.",94.28571428571428,What is a brown eared pheasant?,"The brown eared pheasant is a large dark brown pheasant native to the mountain forests of northeastern China. It has distinctive white ear covert behind the eyes that look like a moustache. It's crown is black with red bare facial skin, and it has a tail with long, white, curve, loose, dark-tipped feathers."
"Hamilton's first season in Formula One saw him partner two-time and defending World Champion Fernando Alonso. Hamilton is the first and, as of 2022, the only black driver to race in the series. After finishing on the podium in his debut, Hamilton went on to set several records as he finished runner-up in the 2007 World Drivers' Championship to Kimi Rikknen by one point, including those for the most consecutive podium finishes from debut (9), the joint most wins in a debut season (4) and the most points in a debut season (109). Throughout the season, Hamilton and Alonso were involved in a number of incidents which resulted in tensions between both drivers and the team, culminating in Alonso and McLaren terminating their contract by mutual consent in November. Following a successful first season at McLaren, Hamilton signed a multi-million-pound contract to stay with the team until 2012.","What records did Lewis Hamilton set during his debut season in Formula One, and how many points did he accumulate in that season?",95.71428571428572,"Lewis Hamilton set records for the most consecutive podium finishes from debut (9), the joint most wins in a debut season (4), and the most points in a debut season (109) during his debut season in Formula One.",94.28571428571428,Is it true that Lewis Hamilton won the championship in his first F1 season?,"Lewis Hamilton did not win the F1 world driver's championship in his rookie season in 2007. The title went to Kimi Rikknen in the Ferrari team. Hamilton finished runner up, in second place, after a close battle with both Ferrari and his teammate Fernando Alonso."
"Rowing is a low-impact sport with movement only in defined ranges, so that twist and sprain injuries are rare. However, the repetitive rowing action can put strain on knee joints, the spine and the tendons of the forearm, and inflammation of these are the most common rowing injuries. If one rows with poor technique, especially rowing with a curved rather than straight back, other injuries may surface, including back pains and wrist injuries. Blisters occur for almost all rowers, especially in the beginning of one's rowing career, as every stroke puts pressure on the hands, though rowing frequently tends to harden hands and generate protective calluses. Holding the oars too tightly or making adjustments to technique may cause recurring or new blisters, as it is common to feather the blade. Another common injury is getting ""track bites"", thin cuts on the back of one's calf or thigh caused by contact with the seat tracks at either end of the stroke.","What are the most common rowing injuries caused by repetitive rowing action, and how do they typically manifest?",94.28571428571428,"The most common rowing injuries caused by repetitive rowing action are inflammation of the knee joints, spine, and forearm tendons, which can manifest as strain or sprain.",92.85714285714286,What are the most common injuries in rowing?,"The most common injuries in rowing are inflammation of the knees, spine and forearms. Oher common injuries also include hand blisters and track bites."
"Billie Eilish Pirate Baird O'Connell (/al/ EYE-lish; born December 18, 2001) is an American singer and songwriter. She first gained public attention in 2015 with her debut single ""Ocean Eyes"", written and produced by her brother Finneas O'Connell, with whom she collaborates on music and live shows. In 2017, she released her debut extended play (EP), titled Don't Smile at Me. Commercially successful, it reached the top 15 of record charts in numerous countries, including the US, UK, Canada, and Australia.  Eilish's first studio album, When We All Fall Asleep, Where Do We Go? (2019), debuted atop the US Billboard 200 and UK Albums Chart. It was one of the best-selling albums of the year, buoyed by the success of its fifth single ""Bad Guy"", Eilish's first number-one on the US Billboard Hot 100. This made her the first artist born in the 21st century to release a chart-topping single. The following year, Eilish performed the theme song ""No Time to Die"" for the James Bond film of the same name, which topped the UK Singles Chart and won the Academy Award for Best Original Song in 2022. Her subsequent singles ""Everything I Wanted"", ""My Future"", ""Therefore I Am"", and ""Your Power"" peaked in the top 10 in the US and UK. Her second studio album, Happier Than Ever (2021), topped charts in 25 countries.","What was the title of Billie Eilish's debut extended play (EP), released in 2017, and what was its commercial success?",94.28571428571428,"Billie Eilish's debut extended play (EP) was titled ""Don't Smile at Me"", released in 2017. It was commercially successful, reaching the top 15 of record charts in numerous countries, including the US, UK, Canada, and Australia.",94.28571428571428,"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?","Her brother Finneas O'Connell produced her debut single ""Ocean Eyes"", and her chart topping single is ""Bad Guy"""
"Known as ""The Mad"" Baldwin, he turned pro in 1970 and lost a decision to Marvin Hagler in 1975. In 1977 he took on Rocky Mosley Jr in the ill-fated U.S. Championship Tournament, but lost via K.O. In 1978 he lost a decision to Marvin Johnson, and retired a year later.","What were the three notable fights in which ""The Mad"" Baldwin lost in the 1970s?",94.28571428571428,"""The Mad"" Baldwin lost decisions to Marvin Hagler in 1975 and Marvin Johnson in 1978, and was knocked out by Rocky Mosley Jr in the 1977 U.S. Championship Tournament.",94.28571428571428,Who was boxer John Baldwin,"Born in Detroit, John Baldwin was a professional US boxer.  He fought in the Light-Middleweight category and won a bronze medal in the 1968 Olympics.   He turned pro in 1970, and lost a decision to Marvin Hagler in 1975.  He retired in 1979"
"Daniel Leavitt was born November 16, 1813, at Rye, New Hampshire, the son of Benning Leavitt, influential businessman, state senator, county commissioner and later Chicopee Selectman, and his wife Olive (Jenness) Leavitt. Daniel Leavitt married in 1838 at West Springfield, Massachusetts, Ruth Jeannette Ball. They had three children.",What is the date and location where Daniel Leavitt was born?,95.71428571428572,"November 16, 1813, at Rye, New Hampshire.",95.71428571428572,Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description}," November 16, 1813 - This is when Daniel Leavitt was born  1838 - This is when Daniel Leavitt married his wife Ruth Jeannette Ball."
